iter	Logloss
0	0.6881886263
5	0.6683142217
10	0.6539059815
15	0.643655051
20	0.6359188539
25	0.6300687817
30	0.6254845045
35	0.621871989
40	0.6187789185
45	0.6162993922
50	0.61404468
55	0.6120264748
60	0.6102069663
65	0.6085494963
70	0.6070553878
75	0.6057242993
80	0.6044329416
85	0.603225057
90	0.6021140883
95	0.6009678696
100	0.5999375147
105	0.5989481281
110	0.5979321975
115	0.5970253025
120	0.5961540842
125	0.5952363069
130	0.5943924008
135	0.5934186335
140	0.5926823121
145	0.5918348213
150	0.5910352976
155	0.5901532397
160	0.5893985252
165	0.5885922161
170	0.5877732325
175	0.5870131835
180	0.5863371625
185	0.5855702855
190	0.5850252352
195	0.5841707457
200	0.5835243413
205	0.582677576
210	0.5820496928
215	0.5811845343
220	0.5804773602
225	0.5797349362
230	0.5790193551
235	0.5783689393
240	0.577652974
245	0.5770327724
250	0.5764198683
255	0.5758210897
260	0.5750706001
