iter	Passed	Remaining
0	48	97357
1	81	81005
2	120	80233
3	153	76531
4	186	74604
5	221	73613
6	258	73652
7	294	73434
8	329	72826
9	360	71647
10	393	71144
11	428	71029
12	461	70556
13	496	70483
14	533	70619
15	568	70519
16	608	70977
17	668	73576
18	719	74997
19	754	74730
20	789	74389
21	822	73983
22	858	73766
23	892	73523
24	925	73096
25	958	72749
26	989	72291
27	1023	72086
28	1055	71755
29	1099	72201
30	1131	71896
31	1165	71657
32	1198	71426
33	1237	71539
34	1271	71384
35	1358	74098
36	1413	74977
37	1463	75562
38	1512	76026
39	1549	75926
40	1582	75600
41	1621	75580
42	1657	75431
43	1690	75144
44	1725	74968
45	1760	74771
46	1793	74525
47	1827	74329
48	1863	74209
49	1897	74008
50	1930	73783
51	1966	73664
52	2005	73678
53	2042	73608
54	2077	73473
55	2113	73369
56	2159	73604
57	2193	73444
58	2231	73403
59	2267	73321
60	2301	73153
61	2335	72990
62	2368	72822
63	2405	72757
64	2438	72598
65	2474	72517
66	2509	72404
67	2545	72326
68	2583	72298
69	2621	72271
70	2670	72547
71	2707	72496
72	2742	72405
73	2778	72327
74	2813	72214
75	2849	72125
76	2889	72155
77	2925	72077
78	2962	72030
79	3004	72112
80	3040	72040
81	3079	72036
82	3115	71948
83	3152	71909
84	3192	71914
85	3238	72067
86	3272	71960
87	3315	72030
88	3352	71977
89	3389	71934
90	3424	71840
91	3464	71844
92	3500	71787
93	3540	71796
94	3577	71729
95	3615	71705
96	3654	71688
97	3699	71804
98	3737	71759
99	3773	71691
100	3813	71707
101	3851	71668
102	3891	71663
103	3927	71592
104	3962	71513
105	4001	71491
106	4037	71431
107	4079	71473
108	4116	71417
109	4151	71333
110	4186	71252
111	4233	71370
112	4277	71433
113	4314	71373
114	4349	71290
115	4386	71245
116	4422	71172
117	4455	71058
118	4489	70965
119	4524	70882
120	4562	70845
121	4597	70768
122	4630	70659
123	4664	70568
124	4700	70504
125	4735	70428
126	4769	70336
127	4805	70284
128	4842	70239
129	4878	70176
130	4917	70165
131	4954	70114
132	4993	70090
133	5026	70002
134	5067	70011
135	5103	69941
136	5138	69879
137	5173	69803
138	5208	69735
139	5246	69709
140	5286	69696
141	5322	69641
142	5360	69615
143	5394	69533
144	5430	69469
145	5466	69419
146	5499	69329
147	5541	69337
148	5579	69308
149	5614	69239
150	5648	69168
151	5684	69113
152	5721	69067
153	5759	69039
154	5800	69048
155	5836	68990
156	5874	68957
157	5914	68953
158	5951	68906
159	5986	68840
160	6022	68791
161	6057	68726
162	6094	68682
163	6135	68691
164	6173	68653
165	6208	68597
166	6247	68568
167	6291	68608
168	6326	68547
169	6368	68557
170	6408	68544
171	6451	68571
172	6488	68524
173	6526	68487
174	6561	68427
175	6599	68398
176	6635	68338
177	6670	68275
178	6705	68213
179	6742	68172
180	6777	68116
181	6821	68135
182	6856	68079
183	6896	68064
184	6937	68062
185	6971	67989
186	7008	67948
187	7043	67891
188	7084	67886
189	7124	67869
190	7158	67801
191	7194	67746
192	7230	67697
193	7275	67733
194	7312	67692
195	7346	67619
196	7381	67560
197	7414	67481
198	7451	67434
199	7486	67375
200	7521	67318
201	7555	67251
202	7591	67204
203	7628	67161
204	7663	67105
205	7700	67058
206	7733	66985
207	7772	66965
208	7806	66899
209	7842	66846
210	7878	66802
211	7913	66742
212	7949	66694
213	7987	66665
214	8023	66614
215	8059	66566
216	8097	66529
217	8140	66541
218	8177	66502
219	8212	66447
220	8254	66447
221	8291	66407
222	8333	66402
223	8371	66372
224	8409	66345
225	8446	66302
226	8487	66292
227	8522	66233
228	8557	66180
229	8594	66141
230	8633	66113
231	8675	66115
232	8709	66047
233	8746	66012
234	8783	65967
235	8818	65917
236	8874	66012
237	8909	65956
238	8942	65888
239	8976	65829
240	9010	65768
241	9046	65720
242	9082	65669
243	9120	65636
244	9158	65603
245	9192	65543
246	9232	65523
247	9267	65468
248	9312	65484
249	9346	65428
250	9381	65374
251	9420	65347
252	9457	65303
253	9493	65255
254	9533	65236
255	9568	65182
256	9605	65148
257	9646	65133
258	9682	65082
259	9716	65028
260	9752	64982
261	9787	64923
262	9825	64895
263	9860	64841
