cust_id,ref_date,churn
0,2017-09-01,0
3,2018-10-01,0
5,2018-03-01,1
6,2018-04-01,1
7,2018-05-01,0
8,2018-05-01,0
10,2017-09-01,0
11,2018-11-01,0
12,2017-11-01,0
13,2017-09-01,0
14,2018-07-01,0
16,2017-10-01,1
17,2018-12-01,0
18,2017-08-01,1
20,2018-12-01,0
22,2018-01-01,1
23,2018-07-01,0
24,2018-12-01,1
25,2017-10-01,0
27,2018-05-01,0
28,2018-07-01,0
30,2018-03-01,0
31,2017-11-01,0
34,2018-10-01,0
35,2018-04-01,0
37,2017-08-01,1
38,2018-08-01,0
39,2018-05-01,0
40,2017-07-01,1
43,2018-05-01,0
44,2017-12-01,0
45,2018-02-01,1
46,2018-02-01,1
47,2017-09-01,0
49,2018-08-01,0
51,2018-01-01,1
52,2017-08-01,0
55,2018-01-01,0
57,2018-10-01,0
58,2017-10-01,0
60,2017-08-01,1
61,2018-11-01,0
62,2018-03-01,0
63,2017-08-01,0
65,2018-05-01,0
67,2017-10-01,1
68,2018-11-01,0
71,2017-07-01,1
72,2018-09-01,1
74,2017-11-01,0
75,2018-11-01,1
76,2017-08-01,1
77,2018-03-01,0
79,2017-08-01,1
80,2018-06-01,0
81,2018-06-01,0
84,2017-08-01,0
85,2018-08-01,0
86,2017-10-01,0
87,2018-12-01,0
89,2018-11-01,0
91,2018-12-01,0
92,2018-02-01,1
94,2018-03-01,0
96,2018-04-01,0
98,2018-02-01,0
100,2018-03-01,0
101,2017-08-01,0
102,2018-06-01,0
105,2017-11-01,0
106,2018-06-01,0
107,2017-10-01,0
108,2018-11-01,0
109,2018-06-01,0
110,2018-10-01,1
111,2018-02-01,0
112,2017-12-01,0
113,2018-08-01,0
114,2018-11-01,0
116,2018-03-01,1
117,2018-05-01,0
118,2017-10-01,1
119,2017-10-01,0
121,2018-10-01,0
122,2018-11-01,0
123,2017-09-01,0
124,2018-02-01,0
127,2018-05-01,0
130,2018-04-01,0
132,2018-01-01,0
133,2017-12-01,0
134,2018-11-01,0
135,2017-09-01,1
136,2018-10-01,0
137,2017-10-01,0
139,2017-11-01,0
141,2017-07-01,0
145,2017-08-01,1
146,2017-09-01,1
147,2018-10-01,0
148,2018-06-01,0
149,2018-11-01,0
150,2018-01-01,0
152,2018-01-01,1
154,2018-08-01,0
155,2018-06-01,0
156,2018-03-01,1
157,2018-07-01,0
158,2018-08-01,0
159,2017-10-01,1
160,2017-08-01,1
161,2017-07-01,0
163,2017-10-01,0
164,2017-12-01,0
165,2018-06-01,1
167,2018-08-01,1
170,2017-09-01,0
171,2018-05-01,0
172,2018-11-01,0
173,2018-10-01,0
175,2018-06-01,0
177,2018-08-01,0
178,2017-08-01,0
180,2018-08-01,0
181,2018-10-01,0
182,2018-08-01,0
183,2018-08-01,0
184,2017-09-01,0
185,2018-08-01,0
187,2018-02-01,0
188,2018-09-01,0
189,2017-07-01,0
190,2018-03-01,0
191,2018-05-01,0
194,2017-12-01,0
195,2018-01-01,0
196,2018-04-01,0
199,2017-07-01,0
200,2018-10-01,1
201,2017-12-01,0
203,2017-08-01,0
205,2018-01-01,0
207,2018-02-01,0
208,2018-05-01,0
209,2018-10-01,0
211,2017-10-01,0
212,2017-08-01,1
213,2018-08-01,0
214,2018-07-01,0
215,2017-10-01,1
218,2018-10-01,0
220,2018-04-01,0
221,2018-04-01,0
222,2017-10-01,1
223,2018-05-01,0
226,2018-02-01,0
227,2017-11-01,0
228,2018-03-01,0
